article_id,authors,publication_year,DOI,title,journal,section_in_doc,duplicate
449681,Common Sense Media & Hopelab,2024,https://www.commonsensemedia.org/sites/default/files/research/report/2024-double-edged-sword-hopelab-report_final-release-for-web-v2.pdf,A Double-Edged Sword: How Diverse Communities of Young People Think About the Multifaceted Relationship Between Social Media and Mental Health,Common Sense Media & Hopelab,4.3,F
644502,Shakya & Christakis,2017,10.1093/aje/kww189,Association of Facebook Use With Compromised Well-Being: A Longitudinal Study,American Journal of Epidemiology,2.1,F
668848,Frison & Eggermont,2017,10.1089/cyber.2017.0156,"Browsing, Posting, and Liking on Instagram","Cyberpsychology, Behavior, and Social Networking",2.1,F
840046,American Psychological Association,2018,https://www.apa.org/news/press/releases/stress/2018/stress-gen-z.pdf,Stress in America: Generation Z,American Psychological Association,4.3,F
477787,"Lin, Sidani, Shensa et al.",2016,10.1002/da.22466,Association between social media use and depression among U.S. young adults,Depression and Anxiety,1.1,F
134669,Price et al.,2022,10.1037/tra0001202,Doomscrolling during COVID-19: Negative association between social media use and mental health,"Psychological Trauma: Theory, Research, Practice, and Policy",1.1,F
674078,"Przybylski, Nguyen, Law, & Weinstein",2021,10.1007/s41347-020-00189-w,Does Taking a Short Break from Social Media Have a Positive Effect on Well-being?,J. of Technology in Behavioral Science,3.2,F
993340,Brailovskaia,2023,10.1080/0144929X.2023.2286529,"Less social media use – more satisfied, work-engaged and mentally healthy employees: an experimental intervention study",Behaviour and Information Technology,3.1,F
125894,Vaghefi,2024,10.17705/1thci.00208,Taking a Break from Social Media? A Multi-method Investigation of Social Media Abstinence Duration,AIS Transactions on Human-Computer Interaction,3.8,F
800131,"Triệu, Ellison, Schoenebeck, & Brewer",2021,10.1177/20563051211042400,Implications of Facebook Engagement Types and Feed’s Social Content for Self-Esteem via Social Comparison Processes,Social Media + Society,1.4,F
66878,"Fruehwirth, Weng, & Perreira",2024,10.1002/hec.4871,The effect of social media use on mental health of college students during the pandemic,Health Economics,2.1,F
224158,"Svensson, Johnson, & Olsson",2022,10.1186/s12889-022-12670-7,Does gender matter? The association between different digital media activities and adolescent well-being,BMC Public Health,1.1,F
156864,Robinson et al.,2019,10.1111/jabr.12158,"Social comparisons, social media addiction, and social interaction",Journal of Applied Biobehavioral Research,1.1,F
248439,Hesselle & Montag,2024,10.1186/s40359-024-01611-1,Effects of a 14-day social media abstinence on mental health and well-being,BMC Psychology,3.1,F
67308,"Hunt, All, Burns, & Li",2021,10.1521/jscp.2021.40.1.46,"Too much of a good thing: Who we follow, what we do, and how much time we spend...",Journal of Social and Clinical Psychology,3.1,F
466890,"Papageorgiou, Fisher & Cross",2022,10.1186/s12905-022-01845-4,“Why don’t I look like her?” How adolescent girls view social media and its connection to body image,BMC Women's Health,4.1,F
363527,"Keum, Wang, Callaway, Abebe, Cruz, & O’Connor",2022,10.1007/s12144-022-03473-5,Benefits and harms of social media use: A latent profile analysis of emerging adults,Current Psychology,1.3,F
299455,"Griffioen, Scholten, Lichtwarck-Aschoff, Maciejewski, & Granic",2022,10.1007/s12144-022-04035-5,Heterogeneity in some relationships between social media use and emerging adults’ affective wellbeing,Current Psychology,1.3,F
932070,"Orben, Dienlin, & Przybylski",2019,10.1073/pnas.1902058116,Social media’s enduring effect on adolescent life satisfaction,PNAS,2.2,F
